FORWARD_CHAIN req=32 -> candidate=req30 chain_day=3
COMMIT req=32 type=1 delivery=1 pickup=3
BACKWARDS_EXTEND req=389 onto pool day=9 type=2
COMMIT req=389 type=2 delivery=9 pickup=12 chained_from=req89
BACKWARDS_EXTEND req=326 onto pool day=11 type=2
COMMIT req=326 type=2 delivery=11 pickup=13 chained_from=req214
BACKWARDS_EXTEND req=324 onto pool day=13 type=2
COMMIT req=324 type=2 delivery=13 pickup=16 chained_from=req148
BACKWARDS_EXTEND req=140 onto pool day=12 type=2
COMMIT req=140 type=2 delivery=12 pickup=14 chained_from=req364
BACKWARDS_EXTEND req=191 onto pool day=14 type=2
COMMIT req=191 type=2 delivery=14 pickup=17 chained_from=req10
BACKWARDS_EXTEND req=474 onto pool day=10 type=2
COMMIT req=474 type=2 delivery=10 pickup=11 chained_from=req33
BACKWARDS_EXTEND req=54 onto pool day=16 type=2
COMMIT req=54 type=2 delivery=16 pickup=18 chained_from=req23
BACKWARDS_EXTEND req=248 onto pool day=15 type=2
COMMIT req=248 type=2 delivery=15 pickup=16 chained_from=req105
BACKWARDS_EXTEND req=219 onto pool day=18 type=2
COMMIT req=219 type=2 delivery=18 pickup=21 chained_from=req106
BACKWARDS_EXTEND req=109 onto pool day=7 type=2
COMMIT req=109 type=2 delivery=7 pickup=8 chained_from=req217
BACKWARDS_EXTEND req=6 onto pool day=17 type=2
COMMIT req=6 type=2 delivery=17 pickup=19 chained_from=req340
BACKWARDS_EXTEND req=17 onto pool day=20 type=2
COMMIT req=17 type=2 delivery=20 pickup=22 chained_from=req184
BACKWARDS_EXTEND req=310 onto pool day=21 type=2
COMMIT req=310 type=2 delivery=21 pickup=23 chained_from=req31
BACKWARDS_EXTEND req=363 onto pool day=6 type=2
COMMIT req=363 type=2 delivery=6 pickup=7 chained_from=req37
BACKWARDS_EXTEND req=495 onto pool day=5 type=2
COMMIT req=495 type=2 delivery=5 pickup=6 chained_from=req342
BACKWARDS_EXTEND req=218 onto pool day=8 type=2
COMMIT req=218 type=2 delivery=8 pickup=10 chained_from=req41
BACKWARDS_EXTEND req=459 onto pool day=9 type=2
COMMIT req=459 type=2 delivery=9 pickup=12 chained_from=req89
BACKWARDS_EXTEND req=372 onto pool day=11 type=2
COMMIT req=372 type=2 delivery=11 pickup=14 chained_from=req214
BACKWARDS_EXTEND req=382 onto pool day=13 type=2
COMMIT req=382 type=2 delivery=13 pickup=14 chained_from=req148
BACKWARDS_EXTEND req=392 onto pool day=12 type=2
COMMIT req=392 type=2 delivery=12 pickup=13 chained_from=req364
BACKWARDS_EXTEND req=226 onto pool day=14 type=2
COMMIT req=226 type=2 delivery=14 pickup=15 chained_from=req10
BACKWARDS_EXTEND req=430 onto pool day=10 type=2
COMMIT req=430 type=2 delivery=10 pickup=12 chained_from=req33
BACKWARDS_EXTEND req=187 onto pool day=16 type=2
COMMIT req=187 type=2 delivery=16 pickup=17 chained_from=req23
BACKWARDS_EXTEND req=366 onto pool day=15 type=2
COMMIT req=366 type=2 delivery=15 pickup=16 chained_from=req105
BACKWARDS_EXTEND req=247 onto pool day=18 type=2
COMMIT req=247 type=2 delivery=18 pickup=20 chained_from=req106
BACKWARDS_EXTEND req=135 onto pool day=7 type=2
COMMIT req=135 type=2 delivery=7 pickup=10 chained_from=req217
BACKWARDS_EXTEND req=7 onto pool day=17 type=2
COMMIT req=7 type=2 delivery=17 pickup=19 chained_from=req340
BACKWARDS_EXTEND req=164 onto pool day=20 type=2
COMMIT req=164 type=2 delivery=20 pickup=22 chained_from=req184
BACKWARDS_EXTEND req=112 onto pool day=21 type=2
COMMIT req=112 type=2 delivery=21 pickup=23 chained_from=req31
BACKWARDS_EXTEND req=26 onto pool day=19 type=2
COMMIT req=26 type=2 delivery=19 pickup=22 chained_from=req6
BACKWARDS_EXTEND req=47 onto pool day=22 type=2
COMMIT req=47 type=2 delivery=22 pickup=23 chained_from=req17
BACKWARDS_EXTEND req=175 onto pool day=23 type=2
COMMIT req=175 type=2 delivery=23 pickup=25 chained_from=req310
BACKWARDS_EXTEND req=391 onto pool day=6 type=2
COMMIT req=391 type=2 delivery=6 pickup=8 chained_from=req37
BACKWARDS_EXTEND req=303 onto pool day=5 type=2
COMMIT req=303 type=2 delivery=5 pickup=7 chained_from=req342
BACKWARDS_EXTEND req=355 onto pool day=8 type=2
COMMIT req=355 type=2 delivery=8 pickup=11 chained_from=req41
BACKWARDS_EXTEND req=461 onto pool day=9 type=2
COMMIT req=461 type=2 delivery=9 pickup=11 chained_from=req89
BACKWARDS_EXTEND req=441 onto pool day=11 type=2
COMMIT req=441 type=2 delivery=11 pickup=14 chained_from=req214
BACKWARDS_EXTEND req=451 onto pool day=13 type=2
COMMIT req=451 type=2 delivery=13 pickup=16 chained_from=req148
BACKWARDS_EXTEND req=467 onto pool day=12 type=2
COMMIT req=467 type=2 delivery=12 pickup=14 chained_from=req364
BACKWARDS_EXTEND req=280 onto pool day=14 type=2
COMMIT req=280 type=2 delivery=14 pickup=16 chained_from=req10
BACKWARDS_EXTEND req=458 onto pool day=10 type=2
COMMIT req=458 type=2 delivery=10 pickup=11 chained_from=req33
BACKWARDS_EXTEND req=195 onto pool day=16 type=2
COMMIT req=195 type=2 delivery=16 pickup=17 chained_from=req23
BACKWARDS_EXTEND req=385 onto pool day=15 type=2
COMMIT req=385 type=2 delivery=15 pickup=17 chained_from=req105
BACKWARDS_EXTEND req=268 onto pool day=18 type=2
COMMIT req=268 type=2 delivery=18 pickup=21 chained_from=req106
BACKWARDS_EXTEND req=421 onto pool day=7 type=2
COMMIT req=421 type=2 delivery=7 pickup=8 chained_from=req217
BACKWARDS_EXTEND req=205 onto pool day=17 type=2
COMMIT req=205 type=2 delivery=17 pickup=20 chained_from=req340
BACKWARDS_EXTEND req=296 onto pool day=20 type=2
COMMIT req=296 type=2 delivery=20 pickup=23 chained_from=req184
BACKWARDS_EXTEND req=222 onto pool day=21 type=2
COMMIT req=222 type=2 delivery=21 pickup=22 chained_from=req31
BACKWARDS_EXTEND req=36 onto pool day=19 type=2
COMMIT req=36 type=2 delivery=19 pickup=21 chained_from=req6
BACKWARDS_EXTEND req=52 onto pool day=22 type=2
COMMIT req=52 type=2 delivery=22 pickup=23 chained_from=req17
BACKWARDS_EXTEND req=199 onto pool day=23 type=2
COMMIT req=199 type=2 delivery=23 pickup=24 chained_from=req310
BACKWARDS_EXTEND req=449 onto pool day=6 type=2
COMMIT req=449 type=2 delivery=6 pickup=8 chained_from=req37
BACKWARDS_EXTEND req=416 onto pool day=8 type=2
COMMIT req=416 type=2 delivery=8 pickup=11 chained_from=req41
BACKWARDS_EXTEND req=468 onto pool day=11 type=2
COMMIT req=468 type=2 delivery=11 pickup=13 chained_from=req214
BACKWARDS_EXTEND req=347 onto pool day=13 type=2
COMMIT req=347 type=2 delivery=13 pickup=15 chained_from=req148
BACKWARDS_EXTEND req=488 onto pool day=12 type=2
COMMIT req=488 type=2 delivery=12 pickup=13 chained_from=req364
BACKWARDS_EXTEND req=446 onto pool day=14 type=2
COMMIT req=446 type=2 delivery=14 pickup=17 chained_from=req10
BACKWARDS_EXTEND req=216 onto pool day=16 type=2
COMMIT req=216 type=2 delivery=16 pickup=19 chained_from=req23
BACKWARDS_EXTEND req=411 onto pool day=15 type=2
COMMIT req=411 type=2 delivery=15 pickup=17 chained_from=req105
BACKWARDS_EXTEND req=436 onto pool day=18 type=2
COMMIT req=436 type=2 delivery=18 pickup=21 chained_from=req106
BACKWARDS_EXTEND req=463 onto pool day=7 type=2
COMMIT req=463 type=2 delivery=7 pickup=10 chained_from=req217
BACKWARDS_EXTEND req=258 onto pool day=17 type=2
COMMIT req=258 type=2 delivery=17 pickup=20 chained_from=req340
BACKWARDS_EXTEND req=367 onto pool day=20 type=2
COMMIT req=367 type=2 delivery=20 pickup=22 chained_from=req184
BACKWARDS_EXTEND req=353 onto pool day=21 type=2
COMMIT req=353 type=2 delivery=21 pickup=23 chained_from=req31
BACKWARDS_EXTEND req=69 onto pool day=19 type=2
COMMIT req=69 type=2 delivery=19 pickup=21 chained_from=req6
BACKWARDS_EXTEND req=107 onto pool day=22 type=2
COMMIT req=107 type=2 delivery=22 pickup=24 chained_from=req17
BACKWARDS_EXTEND req=275 onto pool day=23 type=2
COMMIT req=275 type=2 delivery=23 pickup=25 chained_from=req310
BACKWARDS_EXTEND req=177 onto pool day=24 type=2
COMMIT req=177 type=2 delivery=24 pickup=25 chained_from=req199
BACKWARDS_EXTEND req=470 onto pool day=13 type=2
COMMIT req=470 type=2 delivery=13 pickup=15 chained_from=req148
BACKWARDS_EXTEND req=284 onto pool day=14 type=2
COMMIT req=284 type=2 delivery=14 pickup=17 chained_from=req10
BACKWARDS_EXTEND req=405 onto pool day=16 type=2
COMMIT req=405 type=2 delivery=16 pickup=17 chained_from=req23
BACKWARDS_EXTEND req=483 onto pool day=15 type=2
COMMIT req=483 type=2 delivery=15 pickup=16 chained_from=req105
BACKWARDS_EXTEND req=73 onto pool day=18 type=2
COMMIT req=73 type=2 delivery=18 pickup=21 chained_from=req106
BACKWARDS_EXTEND req=259 onto pool day=17 type=2
COMMIT req=259 type=2 delivery=17 pickup=20 chained_from=req340
BACKWARDS_EXTEND req=380 onto pool day=20 type=2
COMMIT req=380 type=2 delivery=20 pickup=23 chained_from=req184
BACKWARDS_EXTEND req=399 onto pool day=21 type=2
COMMIT req=399 type=2 delivery=21 pickup=22 chained_from=req31
BACKWARDS_EXTEND req=186 onto pool day=19 type=2
COMMIT req=186 type=2 delivery=19 pickup=20 chained_from=req6
BACKWARDS_EXTEND req=114 onto pool day=22 type=2
COMMIT req=114 type=2 delivery=22 pickup=23 chained_from=req17
BACKWARDS_EXTEND req=362 onto pool day=23 type=2
COMMIT req=362 type=2 delivery=23 pickup=25 chained_from=req310
BACKWARDS_EXTEND req=306 onto pool day=14 type=2
COMMIT req=306 type=2 delivery=14 pickup=17 chained_from=req10
BACKWARDS_EXTEND req=352 onto pool day=16 type=2
COMMIT req=352 type=2 delivery=16 pickup=17 chained_from=req23
BACKWARDS_EXTEND req=489 onto pool day=15 type=2
COMMIT req=489 type=2 delivery=15 pickup=18 chained_from=req105
BACKWARDS_EXTEND req=215 onto pool day=18 type=2
COMMIT req=215 type=2 delivery=18 pickup=21 chained_from=req106
BACKWARDS_EXTEND req=253 onto pool day=17 type=2
COMMIT req=253 type=2 delivery=17 pickup=18 chained_from=req340
BACKWARDS_EXTEND req=472 onto pool day=20 type=2
COMMIT req=472 type=2 delivery=20 pickup=23 chained_from=req184
BACKWARDS_EXTEND req=200 onto pool day=21 type=2
COMMIT req=200 type=2 delivery=21 pickup=22 chained_from=req31
BACKWARDS_EXTEND req=344 onto pool day=19 type=2
COMMIT req=344 type=2 delivery=19 pickup=22 chained_from=req6
BACKWARDS_EXTEND req=251 onto pool day=22 type=2
COMMIT req=251 type=2 delivery=22 pickup=25 chained_from=req17
BACKWARDS_EXTEND req=386 onto pool day=23 type=2
COMMIT req=386 type=2 delivery=23 pickup=25 chained_from=req310
BACKWARDS_EXTEND req=432 onto pool day=16 type=2
COMMIT req=432 type=2 delivery=16 pickup=18 chained_from=req23
BACKWARDS_EXTEND req=473 onto pool day=18 type=2
COMMIT req=473 type=2 delivery=18 pickup=21 chained_from=req106
BACKWARDS_EXTEND req=402 onto pool day=20 type=2
COMMIT req=402 type=2 delivery=20 pickup=21 chained_from=req184
BACKWARDS_EXTEND req=427 onto pool day=21 type=2
COMMIT req=427 type=2 delivery=21 pickup=24 chained_from=req31
BACKWARDS_EXTEND req=410 onto pool day=22 type=2
COMMIT req=410 type=2 delivery=22 pickup=23 chained_from=req17
FORWARD_CHAIN req=320 -> candidate=req153 chain_day=3
COMMIT req=320 type=2 delivery=1 pickup=3
COMMIT req=153 type=2 delivery=3 pickup=4 chained_from=req320
BACKWARDS_EXTEND req=300 onto pool day=4 type=2
COMMIT req=300 type=2 delivery=4 pickup=7 chained_from=req110
BACKWARDS_EXTEND req=406 onto pool day=3 type=2
COMMIT req=406 type=2 delivery=3 pickup=6 chained_from=req320
BACKWARDS_EXTEND req=337 onto pool day=4 type=2
COMMIT req=337 type=2 delivery=4 pickup=5 chained_from=req110
BACKWARDS_EXTEND req=379 onto pool day=3 type=2
COMMIT req=379 type=2 delivery=3 pickup=4 chained_from=req320
BACKWARDS_EXTEND req=197 onto pool day=4 type=2
COMMIT req=197 type=2 delivery=4 pickup=6 chained_from=req110
BACKWARDS_EXTEND req=260 onto pool day=4 type=2
COMMIT req=260 type=2 delivery=4 pickup=5 chained_from=req110
BACKWARDS_EXTEND req=273 onto pool day=4 type=2
COMMIT req=273 type=2 delivery=4 pickup=7 chained_from=req110
BACKWARDS_EXTEND req=439 onto pool day=4 type=2
COMMIT req=439 type=2 delivery=4 pickup=6 chained_from=req110
FORWARD_CHAIN req=452 -> candidate=req469 chain_day=2
COMMIT req=452 type=2 delivery=1 pickup=2
COMMIT req=469 type=2 delivery=2 pickup=5 chained_from=req452
BACKWARDS_EXTEND req=78 onto pool day=2 type=2
COMMIT req=78 type=2 delivery=2 pickup=3 chained_from=req452
BACKWARDS_EXTEND req=315 onto pool day=3 type=2
COMMIT req=315 type=2 delivery=3 pickup=6 chained_from=req320
FORWARD_CHAIN req=74 -> candidate=req130 chain_day=3
COMMIT req=74 type=3 delivery=2 pickup=3
COMMIT req=130 type=3 delivery=3 pickup=5 chained_from=req74
BACKWARDS_EXTEND req=132 onto pool day=3 type=3
COMMIT req=132 type=3 delivery=3 pickup=5 chained_from=req74
BACKWARDS_EXTEND req=35 onto pool day=5 type=3
COMMIT req=35 type=3 delivery=5 pickup=7 chained_from=req130
BACKWARDS_EXTEND req=254 onto pool day=3 type=3
COMMIT req=254 type=3 delivery=3 pickup=6 chained_from=req74
BACKWARDS_EXTEND req=42 onto pool day=5 type=3
COMMIT req=42 type=3 delivery=5 pickup=6 chained_from=req130
BACKWARDS_EXTEND req=169 onto pool day=7 type=3
COMMIT req=169 type=3 delivery=7 pickup=10 chained_from=req35
BACKWARDS_EXTEND req=16 onto pool day=3 type=3
COMMIT req=16 type=3 delivery=3 pickup=5 chained_from=req74
BACKWARDS_EXTEND req=66 onto pool day=5 type=3
COMMIT req=66 type=3 delivery=5 pickup=7 chained_from=req130
BACKWARDS_EXTEND req=182 onto pool day=7 type=3
COMMIT req=182 type=3 delivery=7 pickup=9 chained_from=req35
BACKWARDS_EXTEND req=44 onto pool day=6 type=3
COMMIT req=44 type=3 delivery=6 pickup=9 chained_from=req254
BACKWARDS_EXTEND req=263 onto pool day=10 type=3
COMMIT req=263 type=3 delivery=10 pickup=12 chained_from=req169
BACKWARDS_EXTEND req=103 onto pool day=3 type=3
COMMIT req=103 type=3 delivery=3 pickup=5 chained_from=req74
BACKWARDS_EXTEND req=196 onto pool day=5 type=3
COMMIT req=196 type=3 delivery=5 pickup=8 chained_from=req130
BACKWARDS_EXTEND req=88 onto pool day=7 type=3
COMMIT req=88 type=3 delivery=7 pickup=8 chained_from=req35
BACKWARDS_EXTEND req=57 onto pool day=6 type=3
COMMIT req=57 type=3 delivery=6 pickup=9 chained_from=req254
BACKWARDS_EXTEND req=475 onto pool day=10 type=3
COMMIT req=475 type=3 delivery=10 pickup=13 chained_from=req169
BACKWARDS_EXTEND req=56 onto pool day=9 type=3
COMMIT req=56 type=3 delivery=9 pickup=10 chained_from=req182
BACKWARDS_EXTEND req=12 onto pool day=12 type=3
COMMIT req=12 type=3 delivery=12 pickup=14 chained_from=req263
BACKWARDS_EXTEND req=189 onto pool day=3 type=3
COMMIT req=189 type=3 delivery=3 pickup=6 chained_from=req74
BACKWARDS_EXTEND req=201 onto pool day=5 type=3
COMMIT req=201 type=3 delivery=5 pickup=8 chained_from=req130
BACKWARDS_EXTEND req=220 onto pool day=7 type=3
COMMIT req=220 type=3 delivery=7 pickup=9 chained_from=req35
BACKWARDS_EXTEND req=65 onto pool day=6 type=3
COMMIT req=65 type=3 delivery=6 pickup=8 chained_from=req254
BACKWARDS_EXTEND req=21 onto pool day=10 type=3
COMMIT req=21 type=3 delivery=10 pickup=11 chained_from=req169
BACKWARDS_EXTEND req=60 onto pool day=9 type=3
COMMIT req=60 type=3 delivery=9 pickup=12 chained_from=req182
BACKWARDS_EXTEND req=62 onto pool day=12 type=3
COMMIT req=62 type=3 delivery=12 pickup=14 chained_from=req263
BACKWARDS_EXTEND req=9 onto pool day=8 type=3
COMMIT req=9 type=3 delivery=8 pickup=10 chained_from=req196
BACKWARDS_EXTEND req=241 onto pool day=13 type=3
COMMIT req=241 type=3 delivery=13 pickup=14 chained_from=req475
BACKWARDS_EXTEND req=39 onto pool day=14 type=3
COMMIT req=39 type=3 delivery=14 pickup=15 chained_from=req12
BACKWARDS_EXTEND req=283 onto pool day=3 type=3
COMMIT req=283 type=3 delivery=3 pickup=4 chained_from=req74
BACKWARDS_EXTEND req=373 onto pool day=5 type=3
COMMIT req=373 type=3 delivery=5 pickup=7 chained_from=req130
BACKWARDS_EXTEND req=325 onto pool day=7 type=3
COMMIT req=325 type=3 delivery=7 pickup=10 chained_from=req35
BACKWARDS_EXTEND req=71 onto pool day=6 type=3
COMMIT req=71 type=3 delivery=6 pickup=9 chained_from=req254
BACKWARDS_EXTEND req=111 onto pool day=10 type=3
COMMIT req=111 type=3 delivery=10 pickup=13 chained_from=req169
BACKWARDS_EXTEND req=61 onto pool day=9 type=3
COMMIT req=61 type=3 delivery=9 pickup=11 chained_from=req182
BACKWARDS_EXTEND req=113 onto pool day=12 type=3
COMMIT req=113 type=3 delivery=12 pickup=15 chained_from=req263
BACKWARDS_EXTEND req=209 onto pool day=8 type=3
COMMIT req=209 type=3 delivery=8 pickup=11 chained_from=req196
BACKWARDS_EXTEND req=261 onto pool day=13 type=3
COMMIT req=261 type=3 delivery=13 pickup=16 chained_from=req475
BACKWARDS_EXTEND req=70 onto pool day=14 type=3
COMMIT req=70 type=3 delivery=14 pickup=17 chained_from=req12
BACKWARDS_EXTEND req=122 onto pool day=11 type=3
COMMIT req=122 type=3 delivery=11 pickup=12 chained_from=req21
BACKWARDS_EXTEND req=40 onto pool day=15 type=3
COMMIT req=40 type=3 delivery=15 pickup=16 chained_from=req39
BACKWARDS_EXTEND req=460 onto pool day=3 type=3
COMMIT req=460 type=3 delivery=3 pickup=6 chained_from=req74
BACKWARDS_EXTEND req=433 onto pool day=5 type=3
COMMIT req=433 type=3 delivery=5 pickup=7 chained_from=req130
BACKWARDS_EXTEND req=477 onto pool day=7 type=3
COMMIT req=477 type=3 delivery=7 pickup=10 chained_from=req35
BACKWARDS_EXTEND req=76 onto pool day=6 type=3
COMMIT req=76 type=3 delivery=6 pickup=8 chained_from=req254
BACKWARDS_EXTEND req=245 onto pool day=10 type=3
COMMIT req=245 type=3 delivery=10 pickup=13 chained_from=req169
BACKWARDS_EXTEND req=81 onto pool day=9 type=3
COMMIT req=81 type=3 delivery=9 pickup=10 chained_from=req182
BACKWARDS_EXTEND req=151 onto pool day=12 type=3
COMMIT req=151 type=3 delivery=12 pickup=13 chained_from=req263
BACKWARDS_EXTEND req=229 onto pool day=8 type=3
COMMIT req=229 type=3 delivery=8 pickup=10 chained_from=req196
BACKWARDS_EXTEND req=136 onto pool day=13 type=3
COMMIT req=136 type=3 delivery=13 pickup=14 chained_from=req475
BACKWARDS_EXTEND req=178 onto pool day=14 type=3
COMMIT req=178 type=3 delivery=14 pickup=15 chained_from=req12
BACKWARDS_EXTEND req=138 onto pool day=11 type=3
COMMIT req=138 type=3 delivery=11 pickup=13 chained_from=req21
BACKWARDS_EXTEND req=336 onto pool day=15 type=3
COMMIT req=336 type=3 delivery=15 pickup=17 chained_from=req39
BACKWARDS_EXTEND req=443 onto pool day=4 type=3
COMMIT req=443 type=3 delivery=4 pickup=5 chained_from=req283
BACKWARDS_EXTEND req=98 onto pool day=16 type=3
COMMIT req=98 type=3 delivery=16 pickup=18 chained_from=req261
BACKWARDS_EXTEND req=170 onto pool day=17 type=3
COMMIT req=170 type=3 delivery=17 pickup=19 chained_from=req70
BACKWARDS_EXTEND req=282 onto pool day=3 type=3
COMMIT req=282 type=3 delivery=3 pickup=5 chained_from=req74
BACKWARDS_EXTEND req=104 onto pool day=5 type=3
COMMIT req=104 type=3 delivery=5 pickup=6 chained_from=req130
BACKWARDS_EXTEND req=267 onto pool day=7 type=3
COMMIT req=267 type=3 delivery=7 pickup=8 chained_from=req35
BACKWARDS_EXTEND req=206 onto pool day=6 type=3
COMMIT req=206 type=3 delivery=6 pickup=9 chained_from=req254
BACKWARDS_EXTEND req=499 onto pool day=10 type=3
COMMIT req=499 type=3 delivery=10 pickup=13 chained_from=req169
BACKWARDS_EXTEND req=181 onto pool day=9 type=3
COMMIT req=181 type=3 delivery=9 pickup=11 chained_from=req182
BACKWARDS_EXTEND req=168 onto pool day=12 type=3
COMMIT req=168 type=3 delivery=12 pickup=13 chained_from=req263
BACKWARDS_EXTEND req=278 onto pool day=8 type=3
COMMIT req=278 type=3 delivery=8 pickup=11 chained_from=req196
BACKWARDS_EXTEND req=297 onto pool day=13 type=3
COMMIT req=297 type=3 delivery=13 pickup=16 chained_from=req475
BACKWARDS_EXTEND req=294 onto pool day=14 type=3
COMMIT req=294 type=3 delivery=14 pickup=17 chained_from=req12
BACKWARDS_EXTEND req=156 onto pool day=11 type=3
COMMIT req=156 type=3 delivery=11 pickup=14 chained_from=req21
BACKWARDS_EXTEND req=8 onto pool day=15 type=3
COMMIT req=8 type=3 delivery=15 pickup=18 chained_from=req39
BACKWARDS_EXTEND req=339 onto pool day=4 type=3
COMMIT req=339 type=3 delivery=4 pickup=7 chained_from=req283
BACKWARDS_EXTEND req=117 onto pool day=16 type=3
COMMIT req=117 type=3 delivery=16 pickup=19 chained_from=req261
BACKWARDS_EXTEND req=212 onto pool day=17 type=3
COMMIT req=212 type=3 delivery=17 pickup=19 chained_from=req70
BACKWARDS_EXTEND req=341 onto pool day=18 type=3
COMMIT req=341 type=3 delivery=18 pickup=20 chained_from=req98
BACKWARDS_EXTEND req=14 onto pool day=19 type=3
COMMIT req=14 type=3 delivery=19 pickup=20 chained_from=req170
BACKWARDS_EXTEND req=235 onto pool day=5 type=3
COMMIT req=235 type=3 delivery=5 pickup=7 chained_from=req130
BACKWARDS_EXTEND req=288 onto pool day=7 type=3
COMMIT req=288 type=3 delivery=7 pickup=9 chained_from=req35
BACKWARDS_EXTEND req=276 onto pool day=6 type=3
COMMIT req=276 type=3 delivery=6 pickup=7 chained_from=req254
BACKWARDS_EXTEND req=180 onto pool day=10 type=3
COMMIT req=180 type=3 delivery=10 pickup=13 chained_from=req169
BACKWARDS_EXTEND req=202 onto pool day=9 type=3
COMMIT req=202 type=3 delivery=9 pickup=10 chained_from=req182
BACKWARDS_EXTEND req=203 onto pool day=12 type=3
COMMIT req=203 type=3 delivery=12 pickup=15 chained_from=req263
BACKWARDS_EXTEND req=321 onto pool day=8 type=3
COMMIT req=321 type=3 delivery=8 pickup=10 chained_from=req196
BACKWARDS_EXTEND req=299 onto pool day=13 type=3
COMMIT req=299 type=3 delivery=13 pickup=15 chained_from=req475
BACKWARDS_EXTEND req=307 onto pool day=14 type=3
COMMIT req=307 type=3 delivery=14 pickup=15 chained_from=req12
BACKWARDS_EXTEND req=210 onto pool day=11 type=3
COMMIT req=210 type=3 delivery=11 pickup=13 chained_from=req21
BACKWARDS_EXTEND req=137 onto pool day=15 type=3
COMMIT req=137 type=3 delivery=15 pickup=16 chained_from=req39
BACKWARDS_EXTEND req=361 onto pool day=4 type=3
COMMIT req=361 type=3 delivery=4 pickup=6 chained_from=req283
BACKWARDS_EXTEND req=266 onto pool day=16 type=3
COMMIT req=266 type=3 delivery=16 pickup=18 chained_from=req261
BACKWARDS_EXTEND req=238 onto pool day=17 type=3
COMMIT req=238 type=3 delivery=17 pickup=19 chained_from=req70
BACKWARDS_EXTEND req=72 onto pool day=18 type=3
COMMIT req=72 type=3 delivery=18 pickup=20 chained_from=req98
BACKWARDS_EXTEND req=48 onto pool day=19 type=3
COMMIT req=48 type=3 delivery=19 pickup=20 chained_from=req170
BACKWARDS_EXTEND req=127 onto pool day=20 type=3
COMMIT req=127 type=3 delivery=20 pickup=22 chained_from=req341
BACKWARDS_EXTEND req=476 onto pool day=5 type=3
COMMIT req=476 type=3 delivery=5 pickup=6 chained_from=req130
BACKWARDS_EXTEND req=442 onto pool day=7 type=3
COMMIT req=442 type=3 delivery=7 pickup=9 chained_from=req35
BACKWARDS_EXTEND req=480 onto pool day=6 type=3
COMMIT req=480 type=3 delivery=6 pickup=8 chained_from=req254
BACKWARDS_EXTEND req=272 onto pool day=10 type=3
COMMIT req=272 type=3 delivery=10 pickup=11 chained_from=req169
BACKWARDS_EXTEND req=262 onto pool day=9 type=3
COMMIT req=262 type=3 delivery=9 pickup=12 chained_from=req182
BACKWARDS_EXTEND req=335 onto pool day=12 type=3
COMMIT req=335 type=3 delivery=12 pickup=14 chained_from=req263
BACKWARDS_EXTEND req=285 onto pool day=8 type=3
COMMIT req=285 type=3 delivery=8 pickup=11 chained_from=req196
BACKWARDS_EXTEND req=317 onto pool day=13 type=3
COMMIT req=317 type=3 delivery=13 pickup=16 chained_from=req475
BACKWARDS_EXTEND req=387 onto pool day=14 type=3
COMMIT req=387 type=3 delivery=14 pickup=16 chained_from=req12
BACKWARDS_EXTEND req=327 onto pool day=11 type=3
COMMIT req=327 type=3 delivery=11 pickup=12 chained_from=req21
BACKWARDS_EXTEND req=401 onto pool day=15 type=3
COMMIT req=401 type=3 delivery=15 pickup=16 chained_from=req39
BACKWARDS_EXTEND req=274 onto pool day=16 type=3
COMMIT req=274 type=3 delivery=16 pickup=18 chained_from=req261
BACKWARDS_EXTEND req=302 onto pool day=17 type=3
COMMIT req=302 type=3 delivery=17 pickup=18 chained_from=req70
BACKWARDS_EXTEND req=129 onto pool day=18 type=3
COMMIT req=129 type=3 delivery=18 pickup=19 chained_from=req98
BACKWARDS_EXTEND req=193 onto pool day=19 type=3
COMMIT req=193 type=3 delivery=19 pickup=22 chained_from=req170
BACKWARDS_EXTEND req=20 onto pool day=20 type=3
COMMIT req=20 type=3 delivery=20 pickup=21 chained_from=req341
BACKWARDS_EXTEND req=4 onto pool day=22 type=3
COMMIT req=4 type=3 delivery=22 pickup=23 chained_from=req127
BACKWARDS_EXTEND req=368 onto pool day=7 type=3
COMMIT req=368 type=3 delivery=7 pickup=8 chained_from=req35
BACKWARDS_EXTEND req=381 onto pool day=6 type=3
COMMIT req=381 type=3 delivery=6 pickup=9 chained_from=req254
BACKWARDS_EXTEND req=365 onto pool day=10 type=3
COMMIT req=365 type=3 delivery=10 pickup=12 chained_from=req169
BACKWARDS_EXTEND req=308 onto pool day=9 type=3
COMMIT req=308 type=3 delivery=9 pickup=11 chained_from=req182
BACKWARDS_EXTEND req=345 onto pool day=12 type=3
COMMIT req=345 type=3 delivery=12 pickup=13 chained_from=req263
BACKWARDS_EXTEND req=415 onto pool day=8 type=3
COMMIT req=415 type=3 delivery=8 pickup=10 chained_from=req196
BACKWARDS_EXTEND req=400 onto pool day=13 type=3
COMMIT req=400 type=3 delivery=13 pickup=16 chained_from=req475
BACKWARDS_EXTEND req=478 onto pool day=14 type=3
COMMIT req=478 type=3 delivery=14 pickup=17 chained_from=req12
BACKWARDS_EXTEND req=408 onto pool day=11 type=3
COMMIT req=408 type=3 delivery=11 pickup=12 chained_from=req21
BACKWARDS_EXTEND req=371 onto pool day=15 type=3
COMMIT req=371 type=3 delivery=15 pickup=16 chained_from=req39
BACKWARDS_EXTEND req=431 onto pool day=16 type=3
COMMIT req=431 type=3 delivery=16 pickup=18 chained_from=req261
BACKWARDS_EXTEND req=398 onto pool day=17 type=3
